id;id_fantoir;numero;rep;nom_voie;code_postal;code_insee;nom_commune;code_insee_ancienne_commune;nom_ancienne_commune;x;y;lon;lat;type_position;alias;nom_ld;libelle_acheminement;nom_afnor;source_position;source_nom_voie;certification_commune;cad_parcelles
05001_0240_00017;05001_0240;17;;Rue de la Douane;05460;05001;Abriès-Ristolas;05001;Abriès;1010477.58;6418583.43;6.927488;44.796895;entrée;;Le bourg;ABRIES RISTOLAS;RUE DE LA DOUANE;commune;commune;1;05001000AC0616
05001_0370_00002;05001_0370;2;;Chemin des Granges;05460;05001;Abriès-Ristolas;05001;Abriès;1011666.17;6421359.13;6.944251;44.821321;entrée;;Le Roux;ABRIES RISTOLAS;CHEMIN DES GRANGES;commune;commune;1;05001000AB0181|05001000AB0180|05001000AB0178|05001000AB0378|05001000AB0177|05001000AB0176|05001000AB0175|05001000AB0174|05001000AB0179|05001000AB0183|05001000AB0182|05001000AB0173
05001_9mtub3_00018;;18;;Chemin de Saint Laurent;05460;05001;Abriès-Ristolas;05001;Abriès;1010134;6418100.93;6.922846;44.79271;entrée;;Le bourg;ABRIES RISTOLAS;CHEMIN DE SAINT LAURENT;commune;commune;1;05001000AC0513
05001_0240_00015;05001_0240;15;;Rue de la Douane;05460;05001;Abriès-Ristolas;05001;Abriès;1010484.72;6418581.56;6.927577;44.796875;entrée;;Le bourg;ABRIES RISTOLAS;RUE DE LA DOUANE;commune;commune;1;05001000AC0616
05001_1100_00009;05001_1100;9;;Rue du Sacré Coeur;05460;05001;Abriès-Ristolas;05001;Abriès;1010598.79;6418122.61;6.928729;44.792697;entrée;;Le bourg;ABRIES RISTOLAS;RUE DU SACRE COEUR;commune;commune;1;05001000AC0552
05004_tr9nq5_00208;;208;;Allée des Hauts de Serre Borel;05260;05004;Ancelle;;;954303.86;6396406.57;6.206385;44.620278;entrée;;Serre Borel;ANCELLE;ALLEE DES HAUTS DE SERRE BOREL;commune;commune;1;05004000AA0205
05004_81fd4u_00027;;27;;Allée des Mourettes;05260;05004;Ancelle;;;952794.49;6396153.44;6.187246;44.618551;entrée;;Les Mourettes;ANCELLE;ALLEE DES MOURETTES;commune;commune;1;050040000H1501
05004_81fd4u_00040;;40;;Allée des Mourettes;05260;05004;Ancelle;;;952784.12;6396180.03;6.187129;44.618794;entrée;;Les Mourettes;ANCELLE;ALLEE DES MOURETTES;commune;commune;1;050040000H1555
05176_0090_00008;05176_0090;8;;Chemin des Hugues;05130;05176;Valserres;;;950399.52;6383049.35;6.150494;44.501543;parcelle;;;VALSERRES;CHEMIN DES HUGUES;commune;commune;0;
05176_0090_00009;05176_0090;9;;Chemin des Hugues;05130;05176;Valserres;;;950414.98;6383060.64;6.150694;44.501639;parcelle;;;VALSERRES;CHEMIN DES HUGUES;commune;commune;0;
05176_0090_00010;05176_0090;10;;Chemin des Hugues;05130;05176;Valserres;;;950445.9;6383077.44;6.151091;44.501779;logement;;;VALSERRES;CHEMIN DES HUGUES;commune;commune;0;
05176_0090_00011;05176_0090;11;;Chemin des Hugues;05130;05176;Valserres;;;950464.71;6383104.42;6.151341;44.502015;logement;;;VALSERRES;CHEMIN DES HUGUES;commune;commune;0;
05132_0119_00330;05132_0119;330;;Route des Payas;05500;05132;Saint-Bonnet-en-Champsaur;05020;Bénévent-et-Charbillac;946055.27;6404247.61;6.106379;44.69378;entrée;;Les Payas;ST BONNET EN CHAMPSAUR;ROUTE DES PAYAS;commune;commune;1;050132020ZH0052
05132_0084_00015;05132_0084;15;;Rue des Lagerons;05500;05132;Saint-Bonnet-en-Champsaur;05132;Saint-Bonnet-en-Champsaur;943600.56;6402842.34;6.07473;44.682003;entrée;;Le Bourg;ST BONNET EN CHAMPSAUR;RUE DES LAGERONS;commune;commune;1;0501320000D0823
05132_0045_00006;05132_0045;6;;Avenue des Esclots;05500;05132;Saint-Bonnet-en-Champsaur;05132;Saint-Bonnet-en-Champsaur;943481.21;6403098.92;6.073351;44.684353;entrée;;Le Bourg;ST BONNET EN CHAMPSAUR;AVENUE DES ESCLOTS;commune;commune;1;0501320000D0522
05087_ma7uwd_00381;;381;;Descente de la Fachuriere;05400;05087;Montmaur;;;929185.32;6389293.44;5.886699;44.565012;entrée;;Blaigny;MONTMAUR;DESCENTE DE LA FACHURIERE;commune;commune;1;050087000ZK0076
05087_0780_00264;05087_0780;264;;Route de la Montagne;05400;05087;Montmaur;;;928304.62;6390050.38;5.875963;44.572111;entrée;;Chabottes;MONTMAUR;ROUTE DE LA MONTAGNE;commune;commune;1;0500870000B0682
05087_0230_00096;05087_0230;96;;Avenue Albert Bonnardel;05400;05087;Montmaur;;;928234.21;6389762.81;5.874945;44.569547;entrée;;La Curaude;MONTMAUR;AVENUE ALBERT BONNARDEL;commune;commune;1;0500870000F0571
05061_2255_00014;05061_2255;14;;Chemin Sous le Vent;05000;05061;Gap;05061;Gap;941194.21;6387688.2;6.037034;44.546517;entrée;;Pic Poncon;GAP;CHEMIN SOUS LE VENT;commune;commune;1;050061000DT0060
05061_1190_00013;05061_1190;13;;Rue des Jardins;05000;05061;Gap;05061;Gap;944592.01;6389608.98;6.080718;44.562611;entrée;;Centre Ville;GAP;RUE DES JARDINS;commune;commune;1;050061000CP0002
05061_2316_00004;05061_2316;4;;Rue de Villebois;05000;05061;Gap;05061;Gap;945128.19;6390692.69;6.087998;44.572171;entrée;;Saint-Germain;GAP;RUE DE VILLEBOIS;commune;commune;1;050061000AL0195
05040_0293_00017;05040_0293;17;;Grande Rue;05230;05040;Chorges;;;960132.94;6388359.69;6.275591;44.545744;entrée;;;CHORGES;GRANDE RUE;commune;commune;1;05040000AD0378
05040_0293_00018;05040_0293;18;;Grande Rue;05230;05040;Chorges;;;960167.73;6388343.35;6.27602;44.545584;entrée;;;CHORGES;GRANDE RUE;commune;commune;1;05040000AD0289
05040_0293_00019;05040_0293;19;;Grande Rue;05230;05040;Chorges;;;960137.4;6388359.65;6.275647;44.545742;entrée;;;CHORGES;GRANDE RUE;commune;commune;1;05040000AD0378
05040_0293_00020;05040_0293;20;;Grande Rue;05230;05040;Chorges;;;960175.73;6388336.56;6.276117;44.54552;entrée;;;CHORGES;GRANDE RUE;commune;commune;1;05040000AD0291
05018_0024_00161;05018_0024;161;;Chemin des Chênes;05000;05018;La Bâtie-Vieille;;;949488.83;6390767.33;6.142911;44.571294;entrée;;Les Trousses;LA BATIE-VIEILLE;CHEMIN DES CHENES;commune;commune;1;05018000AC0178
05018_0024_00191;05018_0024;191;;Chemin des Chênes;05000;05018;La Bâtie-Vieille;;;949377.74;6390795.26;6.141527;44.571585;entrée;;Les Trousses;LA BATIE-VIEILLE;CHEMIN DES CHENES;commune;commune;1;05018000AC0236
05008_0368_00110;05008_0368;110;;Rue Claire Fontaine;05140;05008;Aspremont;;;914142.24;6380752.46;5.693708;44.492956;entrée;;Le Lavour;ASPREMONT;RUE CLAIRE FONTAINE;commune;commune;1;05008000ZO0058
05008_1695_00174;05008_1695;174;;Chemin de la Tour;05140;05008;Aspremont;;;917214.69;6380520.5;5.732225;44.489919;entrée;;La Tour et les Combes;ASPREMONT;CHEMIN DE LA TOUR;commune;commune;1;050080000B1533